,D786T08,D786T05,D786T07,D786T02,D786T04,D786T03,D786T01,D786T06
ENSMUSG00000103992,0.72,1.15,0,0.95,0.16,0.26,0,0
ENSMUSG00000102579,0,0,0,0,0,0,0,0
ENSMUSG00000076120,0,4.89,0,0,0,2.82,0,0
ENSMUSG00000098315,0,0,0,0,0,0,0,0
ENSMUSG00000103095,0,0,0,0,0,0,0,0
ENSMUSG00000102574,1.1,2.11,0,4.38,4.44,1.83,0,0
ENSMUSG00000102590,1.39,0.67,0,0,0,1.15,0,0
ENSMUSG00000102884,0,0,0,0,0,0,0,0
ENSMUSG00000027684,2.29,1.2,0.27,1.52,0.62,0.96,0.33,0.84
ENSMUSG00000085702,0.72,0.38,0,0.58,0.86,0.49,0.33,0.26
ENSMUSG00000104486,1.84,0,0,0.2,0.21,1.01,0,0.16
ENSMUSG00000102460,0.71,0.68,0.13,1.41,0.63,0.52,0,1.01
ENSMUSG00000069074,0.24,0.23,0,0,0.16,0.52,0.33,0.13
ENSMUSG00000103870,0.73,1.39,0,0,0.16,1.34,0,0.26
ENSMUSG00000104079,0,0,0,0,0.39,0,0,0
ENSMUSG00000103738,0.48,0.46,0.27,0.63,0,0.4,0.33,0.51
ENSMUSG00000102256,0.74,0,0,1.96,0,0,0,0
ENSMUSG00000104243,1.06,6.09,0,1.4,0.71,1.17,1.46,1.13
ENSMUSG00000102505,0,0,0,0,0,0,0,0
ENSMUSG00000065361,0,0,0,0,0,0,0,0
ENSMUSG00000037737,1.28,0.73,0.14,0,0.34,0,0,0.14
ENSMUSG00000037730,7.91,10.91,9.52,8.08,8.74,7.72,7.41,10.16
ENSMUSG00000027702,0.53,0.76,0,0.18,0.18,0.58,0,0.57
ENSMUSG00000027703,0.18,2.95,0,0,0.73,0.3,0.75,1.74
ENSMUSG00000074653,0.27,0.95,0,0.66,0.24,0.3,0,0.15
ENSMUSG00000086189,0.87,1.26,0,0,0.22,0.24,0,0.12
ENSMUSG00000051860,1.5,1.2,0,1.33,0.92,0.62,0.12,0.33
ENSMUSG00000097786,1.01,0.96,0.57,0,0.68,1.39,0,0
ENSMUSG00000027706,58.16,57.14,71.21,46.61,56.32,59.91,46.94,52.68
ENSMUSG00000104361,14.93,12.51,0,9.89,1.25,6.18,0,3.99
ENSMUSG00000037661,1.07,0.68,0.27,0.08,0.32,0,0.16,0.44
ENSMUSG00000037652,18.68,20.74,28.96,15.95,23.71,20.47,16.26,22.01
ENSMUSG00000102369,0,1.55,1.81,4.27,0,0,1.48,3.45
ENSMUSG00000102741,0,1.03,0,0.72,0,0.6,0.5,0
ENSMUSG00000037643,32.53,29.17,32.26,33.36,40.07,33.54,31.58,27.78
ENSMUSG00000098890,7.94,0,13.39,0,0,0,0,0
ENSMUSG00000027660,73.58,52.93,67.2,41.05,57.57,52.51,30.9,60.41
ENSMUSG00000037625,0.53,0,0.9,1.06,0.54,0.44,0.49,0.29
ENSMUSG00000069072,0.97,0.63,0,0.81,0.17,0.62,0.07,0.08
ENSMUSG00000085953,2.19,1.91,0,0,1.34,0.88,0,0.75
ENSMUSG00000103998,0.22,0,0,0,0,0,0,0
ENSMUSG00000103499,1.42,1.58,0,0,0.48,0.39,0,0
ENSMUSG00000037610,1.76,0.46,0,0.74,0,0,0,0.43
ENSMUSG00000103539,2.47,2.53,0.09,0.76,0.77,1.82,0,1.06
ENSMUSG00000103643,1.94,0,0,1.29,1.31,1.07,0.89,0.69
ENSMUSG00000027663,3.76,2.89,4.16,2.98,3.14,3.55,3,2.95
ENSMUSG00000102825,0,0.34,0,0,0,0,0,0
ENSMUSG00000027665,24.55,19.61,25.8,16.73,22.33,23.31,16.66,21.18
ENSMUSG00000103039,15.8,7.36,12,11.88,15.21,9.2,10.41,7.99
ENSMUSG00000091091,0.87,1.12,0,0.97,0.2,0.48,0.27,1.09
ENSMUSG00000027667,10.96,11.55,13.4,6.41,11.48,7.47,6.72,6.69
ENSMUSG00000104231,1.34,6.42,0,0.89,0,0,0.62,2.15
ENSMUSG00000027668,16.77,20.61,24.46,13.87,16.21,14.46,14.94,16.53
ENSMUSG00000027669,6.5,8.68,11.05,6.47,9.03,7.27,6.02,8.8
ENSMUSG00000102862,0,0,0,0,0,0,0,0.89
ENSMUSG00000027671,10.3,9,10.64,11.59,9.25,9.95,9.89,9.97
ENSMUSG00000103590,0,12.25,0,2.12,0,1.76,0,3.42
ENSMUSG00000037531,3.74,4.34,2.42,3.75,1.06,3.19,1.61,2.9
ENSMUSG00000027673,5.41,5.95,6.98,5.51,5.11,5.97,4.93,5.51
ENSMUSG00000056900,2.63,0.69,2.44,2.14,1.33,1.71,0.7,1.3
ENSMUSG00000081883,0,7.1,0,2.45,0,4.09,0,1.32
ENSMUSG00000104283,1.78,0.43,0.33,1.77,0.7,1.15,0.27,0
ENSMUSG00000027674,0.96,0.76,0.35,0.45,0.42,0.25,0.03,0.27
ENSMUSG00000084665,0,0,0,0,2.14,0,0,0
ENSMUSG00000087625,1.89,1.36,0,1.25,0.32,0.52,0,2.53
ENSMUSG00000102581,0.71,0.68,0,0.94,0.36,0.59,0.33,1.7
ENSMUSG00000102498,1.23,1.57,0,1.22,0.28,0.45,0,0.22
ENSMUSG00000103896,0,4.13,0,0,0,1.19,0,0
ENSMUSG00000098622,0,0,0,0,0,0,0,0
ENSMUSG00000104384,2.57,2.08,0,0.13,0,0.44,0,0.42
ENSMUSG00000088260,0,0,0,4.63,0,7.73,0,0
ENSMUSG00000104203,1.36,0,0,0.68,1.15,0.38,0,0.18
ENSMUSG00000103423,2.51,0.6,0,3.33,0.84,1.04,1.16,0
ENSMUSG00000104954,5.59,0,2.36,2.78,0.94,2.31,3.21,1.49
ENSMUSG00000104588,0.17,0.8,0.19,1,0.45,0.74,0,0.18
ENSMUSG00000106231,2.68,0.86,0,0,0,0,0,0
ENSMUSG00000027677,29.83,37.45,43.02,19.6,30.65,30.45,20.04,33.15
ENSMUSG00000027676,1.88,1.29,1.93,1.56,1.76,1.37,0.25,1.22
ENSMUSG00000105286,3.29,2.1,1.85,5.09,0,0.61,0.5,1.17
ENSMUSG00000105475,0,1.33,0,0,2.34,1.92,0,2.98
ENSMUSG00000106584,0,0,0,0,0,0.58,0,0
ENSMUSG00000077559,3.79,0,0,0,0,0,0,0
ENSMUSG00000044434,0,2.14,0,1.48,0,1.24,0,0
ENSMUSG00000105535,3.06,0,0.57,0,0,0,0,0
ENSMUSG00000027680,36.87,28.51,40.97,29.68,34.05,27.1,25.63,32.92
ENSMUSG00000105135,4.11,4.81,6.16,3.93,3.68,2.52,2.94,0.98
ENSMUSG00000027679,7.95,10.47,8.94,7.73,8.76,7.06,6.28,8.7
ENSMUSG00000105176,3.56,2.24,4.79,2.98,3.21,2.33,2.5,4.4
ENSMUSG00000105265,0.52,1.16,0.1,0.49,0.41,0.33,0.2,0.3
ENSMUSG00000105739,1.69,0,0,1.5,1.52,1.87,1.3,0
ENSMUSG00000092196,2.26,0.72,0,1.5,0,0.42,0,0.2
ENSMUSG00000105577,10.42,3.33,0,0,0,0,0,0
ENSMUSG00000092242,0.31,0.2,0,0.14,0.14,0.23,0,0.11
ENSMUSG00000099437,1.63,3.91,0,0,0,1.35,0,0
ENSMUSG00000098795,0,0,0,0,0,0,0,0
ENSMUSG00000106525,0.61,3.51,0,0.81,3.7,0.34,2.81,0.65
ENSMUSG00000105222,0,0,0,0,0,0,0,0.33
ENSMUSG00000084530,0,0,0,0,0,0,0,0
ENSMUSG00000104797,0,0,0,0,0,0,0,0
ENSMUSG00000104901,0.53,0.51,0,0,0.36,0.29,0,0
ENSMUSG00000074637,0.49,1.4,0.96,0,0,0,0,0.52
ENSMUSG00000098254,0,0,0,0,0,0,0,0
ENSMUSG00000105284,1.59,1.52,0.45,0,0,0.44,0,0
ENSMUSG00000105101,0,4.2,0,0,0,0,0,0
ENSMUSG00000105153,3.65,0,0,1.38,3.85,0.29,0,0.28
ENSMUSG00000106519,0.87,1.67,0,0,0,0,0,0.46
ENSMUSG00000098862,0,0,0,0,0,0,0,0
ENSMUSG00000105651,4.26,2.04,0,4.23,3.22,1.76,0.73,0.57
ENSMUSG00000093499,0,0,0,3.6,0,0,0,0
ENSMUSG00000106512,8.93,0,0,0,0,0,0,0
ENSMUSG00000106496,0.54,0,0,0,0.37,0.3,0.25,0.58
ENSMUSG00000105040,6.88,1.1,0,0.76,0.77,0,0,1.23
ENSMUSG00000105662,0.47,0.45,0,0.39,0.79,0.26,0,0.38
ENSMUSG00000064834,9.53,0,0,0,0,0,0,0
ENSMUSG00000037400,22.62,17.91,22.92,18.7,18.6,20.26,18.53,21.12
ENSMUSG00000104897,10.76,10.3,4.03,0.59,2.41,2.97,1.24,0.96
ENSMUSG00000097713,1.01,0,0.57,0,0.34,0.84,1.4,0.81
ENSMUSG00000027708,8.87,7.54,11.44,6.83,9.53,8.79,7.37,9.18
ENSMUSG00000085655,4.19,4.01,0.88,1.39,3.16,1.44,1.93,1.68
ENSMUSG00000105095,6.09,2.33,4.1,8.87,7.36,9.74,13.43,5.85
ENSMUSG00000027709,7.76,7.83,16.25,21.99,8.77,9.23,25.84,10.08
ENSMUSG00000105556,5.87,9.79,15.64,14.79,5.85,5.96,18.45,10.11
ENSMUSG00000106096,3.12,7.46,3.5,1.03,0,5.16,0,0
ENSMUSG00000086392,0.67,0.97,0.04,1.11,0.77,0.41,0.4,0.54
ENSMUSG00000047696,0.67,0.92,1.08,1.76,0.45,1.35,1.9,1.38
ENSMUSG00000027710,4.88,5.56,5.77,5.34,4.39,3.98,4.77,4.93
ENSMUSG00000105055,0,0,0,0,0,0,0,0
ENSMUSG00000105419,0.51,0.73,0.86,1.01,0.34,0.84,0.7,0.95
ENSMUSG00000033883,12.58,8.38,13.81,8.53,11.17,11.25,7.75,10.42
ENSMUSG00000058400,0.68,0.44,0,1.06,0.46,0,0,0.24
ENSMUSG00000104568,2.78,0.67,0,1.84,1.17,0.96,0,0.19
ENSMUSG00000106180,2.12,0,0,0,0,0.29,0,0.28
ENSMUSG00000106140,3.73,0,0,0.49,0,0,0,0
ENSMUSG00000105281,2,3.84,0,2.66,0,0.55,0,0
ENSMUSG00000105792,0,2.63,0,0.61,0,0,0,1.47
ENSMUSG00000027712,133.14,116.74,134.64,119.88,101.73,113.78,117.17,117.03
ENSMUSG00000098808,0,0,0,0,0,0,0,0
ENSMUSG00000027713,2.2,5.78,1.85,1.82,4.43,1.52,4.55,4.11
ENSMUSG00000085320,0.45,3.27,0,0.15,0.92,0,0,0
ENSMUSG00000085007,0.88,0.34,0,0.47,0.12,0.29,0,0.66
ENSMUSG00000105022,0.8,0.77,0,0.43,0.22,0.71,0.37,0
ENSMUSG00000083388,0,0,0,0.95,0,0,0,0
ENSMUSG00000027714,6.59,9.77,9.43,7.53,7.49,8.04,7.48,6.53
ENSMUSG00000027715,2.33,0.82,1.51,2.76,1.07,1.22,1.52,0.85
ENSMUSG00000037325,3.06,4.44,3.6,4,3.62,4.61,3.46,3.67
ENSMUSG00000027716,2.49,4.51,2.28,2.63,2.05,1.68,0.3,2.47
ENSMUSG00000082548,0,3.8,0,1.31,2.67,0,0,0
ENSMUSG00000084027,0,0,0,0,0,0,0,0
ENSMUSG00000037270,24.41,20.72,29.08,20.27,27.63,22.31,18,23.1
ENSMUSG00000086090,2.05,0,0,3.4,0,0,0,0
ENSMUSG00000027719,1.07,0.29,0.17,0.61,0.31,0.17,0.21,0.74
ENSMUSG00000081705,2.15,0,0,1.9,0.48,1.59,0,0
ENSMUSG00000082878,0,0,0,0,1.18,0.65,0,0.31
ENSMUSG00000083857,0,0,0,0.3,0.61,0,0,0
ENSMUSG00000027720,0.44,0.42,0,0,0,0.48,0,0
ENSMUSG00000084754,1.3,1.96,1.05,0.62,0.13,1.54,0.6,1.99
ENSMUSG00000027718,0.57,0.46,0,0.19,0.32,0.47,0.09,0.2
ENSMUSG00000086517,3.2,0,0,1.41,0,0,0,5.13
ENSMUSG00000104998,0,1.01,0,0,0,0.58,0,0
ENSMUSG00000094007,13.64,8.71,0,0,0,7.53,0,0
ENSMUSG00000045031,0.74,0.83,0.42,0.9,1.58,1.3,0.57,1.06
ENSMUSG00000106407,0,0,0,0,0,0,0,0
ENSMUSG00000051444,4.52,3.93,3,4.35,3.31,2.83,3.21,5.16
ENSMUSG00000083353,0,4.51,3.53,1.04,0,0,0,0.84
ENSMUSG00000054779,0.35,0.66,0,0.46,0.23,0,0,0
ENSMUSG00000105063,0.8,0.57,0.56,0.4,0,0.33,0,0.11
ENSMUSG00000037225,4.5,4.38,5.6,4.1,6.04,6.56,4.14,3.86
ENSMUSG00000105134,0.35,0,0,0,0,0,0,0
ENSMUSG00000050174,3.58,3.14,4.02,5.14,4.21,5.44,1.23,4.3
ENSMUSG00000027722,21.1,17.13,19.89,20.37,28.01,22.53,21.13,19.05
ENSMUSG00000106166,3.19,2.81,6.6,5.94,7.77,4.63,4.13,4.88
ENSMUSG00000080723,0,0,0,0,0,0,0,0.83
ENSMUSG00000081093,0,0,0,0,0,0,0,0
ENSMUSG00000085677,1.84,6.6,0.26,2.13,0.31,1.52,0,0
ENSMUSG00000104605,0.72,1.15,1.22,0.32,0.65,0.53,0.44,1.03
ENSMUSG00000037211,125.14,145.41,180.24,286.16,408.4,308.63,220.88,144.87
ENSMUSG00000106062,14.2,13.46,21.59,24.75,30.73,26.17,18.63,19.41
ENSMUSG00000104935,2.82,1.8,1.23,2.18,2,2.86,0.87,1.51
ENSMUSG00000058174,0.51,0.49,0,0.76,0.43,0.21,0,0.21
ENSMUSG00000100755,40.02,74.4,106.51,37.42,30.83,60.44,54.67,49.06
ENSMUSG00000097304,5.34,0,0,2.65,1.79,2.21,0,0.71
ENSMUSG00000106441,0,3.66,0,1.01,1.03,1.27,0,0
ENSMUSG00000089123,0,0,0,3.04,0,7.6,8.44,0
ENSMUSG00000106621,0.45,0,0,0,0,0,0,0
ENSMUSG00000105252,2.37,0.38,0,1.31,0,0.44,0.18,0.63
ENSMUSG00000106461,1.1,0.26,0,0.54,1.1,0.15,0,0.73
ENSMUSG00000087457,0,2.01,0,1.39,2.12,0,0,0
ENSMUSG00000105099,0.89,0.86,2.01,1.19,0.6,0.49,0,0.48
ENSMUSG00000077728,15.27,10.97,0,2.53,2.57,6.33,0,0
ENSMUSG00000105219,0,0,0,0,0,0,0,0
ENSMUSG00000105359,2.08,0,0.59,0,0,0,0,1.11
ENSMUSG00000106002,0,0.38,0,0.53,0,1.1,0,0
ENSMUSG00000105943,2.92,0,0,4.83,0,2.42,0,0
ENSMUSG00000092986,0,0,0,0,0,0,0,0
ENSMUSG00000106008,1.22,3.51,0,1.62,0,0.68,0,1.96
ENSMUSG00000106485,6.35,0,0,0,0.57,2.1,0,1.13
ENSMUSG00000105516,1.61,2.2,0,1.22,0.46,0,0.42,0.25
ENSMUSG00000106201,4.21,2.3,0,2.79,1.21,0.66,0,0.64
ENSMUSG00000044864,21.15,26.58,32.09,20.06,26.2,22.42,18.37,21.06
ENSMUSG00000076385,0,0,0,0,0,0,0,0
ENSMUSG00000105360,0,2.7,0,0,0,0,0,0
ENSMUSG00000106168,2.95,0.56,0,1.56,0,0,0,0
ENSMUSG00000086181,0.18,0.68,0,0.58,0.71,1.36,0.81,0.09
ENSMUSG00000046743,30.74,18.51,37.46,45.69,44.24,51.75,43,26.29
ENSMUSG00000105910,4.13,0,0,0,0,0.76,1.9,0
ENSMUSG00000104792,1.34,0,0,2.66,0.9,0,0,0
ENSMUSG00000107333,0,0,0,0,0,0.97,2.41,0
ENSMUSG00000050533,4.18,0.8,1.88,2.77,3.93,0.92,1.15,2.23
ENSMUSG00000093952,0,0,0,0,0,0,0,0
ENSMUSG00000106786,0.55,2.29,0,0.37,0.25,0.1,0,0.1
ENSMUSG00000065945,0,5.99,0,4.14,0,0,0,1.67
ENSMUSG00000089520,41.19,5.64,0,11.69,23.72,0,0,0
ENSMUSG00000106846,0,0,0,0,0,0,0,0
ENSMUSG00000106948,0.78,0.87,0.22,0.6,0.35,0.22,0,0.42
ENSMUSG00000037884,1.55,1.32,0.58,0.46,0.58,0.86,1.58,0.18
ENSMUSG00000092891,27.04,0,0,0,0,0,3.11,0
ENSMUSG00000060798,5.25,3.03,5.03,2.41,3.57,4.35,4.09,3.67
ENSMUSG00000089932,1.67,0,0,1.1,2.24,0.92,0,0
ENSMUSG00000069041,0.47,0.9,0,0.93,0.32,0,0.65,0.13
ENSMUSG00000025757,2.08,2.8,1.31,1.97,0.97,1.71,0.62,0.95
ENSMUSG00000025758,4.01,3.7,3.57,3.43,3.48,3.67,2.75,2.96
ENSMUSG00000025759,3.03,4.02,4.72,3.1,3.68,2.08,3.05,2.33
ENSMUSG00000107741,1.1,2,0.62,0.73,0.96,0.91,0.81,0.47
ENSMUSG00000037818,3.31,3.94,3.8,2.43,2.49,2.86,1.48,3.11
ENSMUSG00000074620,1.12,0,0,0,0.75,0,0,0
ENSMUSG00000107524,0.45,2.17,1.78,0,1.82,1.25,0.21,1.93
ENSMUSG00000107892,0,0,4.15,0,3.72,1.02,0,4.93
ENSMUSG00000097583,3.12,4.48,2.19,3.03,4.12,2.22,3.28,2.09
ENSMUSG00000074619,0.43,0.2,0,0.14,0,0.82,0.2,0
ENSMUSG00000025762,11.82,10.38,9.45,10.21,11.09,8.98,8.91,9.21
ENSMUSG00000064927,0,9.1,5.34,14.68,2.13,3.5,4.37,0
ENSMUSG00000105517,1.37,2.36,2.23,1.27,2.94,1.89,2.52,2.12
ENSMUSG00000105674,2.17,3.63,0,0,2.55,0.9,1.25,0.29
ENSMUSG00000049940,17.43,23.05,20.47,15.43,18.03,20.53,15.83,19.21
ENSMUSG00000105258,2.92,0,0.21,0.97,0.74,0.81,0,0.39
ENSMUSG00000106000,1.64,1.4,0,0.24,0.25,0.4,0,0.88
ENSMUSG00000105297,5.86,4.67,1.1,2.91,2.62,3.5,0.67,4.17
ENSMUSG00000089350,4,0,0,7.95,0,0,0,0
ENSMUSG00000105260,2.78,0,0,0,0,0.77,0,0
ENSMUSG00000097639,1.18,0.75,0,1.3,0.39,0.65,0,0.21
ENSMUSG00000104616,0,0,0,4.29,0,0.6,0,0
ENSMUSG00000106223,2.29,2.74,0,0,0,0.95,0,0
ENSMUSG00000025764,21.32,22.06,29.8,14.86,19.67,16.39,10.62,21.78
ENSMUSG00000103843,0.76,1.46,0,2.02,2.56,0.84,2.1,0.41
ENSMUSG00000059834,16.06,15.63,19.02,11.03,16.25,12.12,9.12,15.79
ENSMUSG00000102436,2.21,3.38,0.74,1.17,0.89,0.49,0,0.24
ENSMUSG00000025766,7.23,6.59,11.27,5.53,7.98,7.37,7.44,7.5
ENSMUSG00000103952,1.72,0.92,2.04,0.51,1.67,0.53,0.26,1.23
ENSMUSG00000103823,1.58,1.01,0,0.7,0,0,0,0
ENSMUSG00000102972,0.84,1.07,0,1.3,0,0.15,0,0.3
ENSMUSG00000102610,0.27,1.78,0,0.53,0.18,1.02,0,0.14
ENSMUSG00000104089,0,0,0,0,0,0,0,0
ENSMUSG00000103426,0.92,0,0,2.43,0,0,0,0
ENSMUSG00000104294,0,3.94,0,2.04,1.38,0,0,0
ENSMUSG00000102149,1.09,0,0,0,0,0,0,0
ENSMUSG00000102334,1.28,1.64,0,1.7,1.15,0.71,0,0
ENSMUSG00000104303,0,0,0,0,0,0,0,0
ENSMUSG00000104083,2.84,0.91,0,0,0,0.52,0.43,0
ENSMUSG00000089251,3.38,0,0,1.12,0,0,0,0
ENSMUSG00000102792,1.45,0,0,0.96,0,3.19,0,5.41
ENSMUSG00000103148,0,0,0,0,8.49,0,0,0
ENSMUSG00000104013,0,0,0,0.81,0,0,0,0
ENSMUSG00000104051,0.92,1.62,0,0.1,0.31,0.34,0.21,0.25
ENSMUSG00000103353,2.62,5.02,0,0,1.76,0,0,0
ENSMUSG00000088535,0,0,0,0,0,0,0,0
ENSMUSG00000099285,0,0,0,0,0,0,0,0
ENSMUSG00000103082,1.94,0.19,0,0.9,0.26,0,0.09,0.31
ENSMUSG00000103477,0.65,2.17,0,0.86,0,0,0,0
ENSMUSG00000097040,1.24,1.19,0,0.55,1.11,0.23,0,0.44
ENSMUSG00000103430,0,3.83,0,1.33,0,0,0,0
ENSMUSG00000049100,1.98,1.12,1.31,1.27,1.99,1.29,1.45,1.21
ENSMUSG00000100799,2.57,3.28,0,0,0,0,0,0
ENSMUSG00000103713,0.58,0.74,0.11,0,0,0.54,0,0
ENSMUSG00000103947,0.48,0.15,0,0.21,0.21,0,0.15,0
ENSMUSG00000103534,1.39,2.65,0,0,1.86,0,0,0
ENSMUSG00000102190,0,3.05,0,0,0,0,0,0
ENSMUSG00000104491,0,0,0,0,0,0,0,0
ENSMUSG00000064579,0,0,0,0,2.06,3.39,0,0
ENSMUSG00000089584,0,0,0,0,0,0,0,0
ENSMUSG00000077256,0,0,0,7.53,0,0,0,0
ENSMUSG00000104511,0.7,0.67,0,0.46,0,0,0,0
ENSMUSG00000090919,2.09,3.05,3.17,1.74,2.26,3.31,1.84,3.01
ENSMUSG00000102589,0,0,0,0,0,0,0,0
ENSMUSG00000098417,8.7,4.17,0,0,0,0,0,0
ENSMUSG00000072387,1.99,3.43,0.67,0.26,0,0.22,0.37,1.06
ENSMUSG00000097985,1,0,0,0.33,0.67,0.83,0,0
ENSMUSG00000088739,0,10.42,0,0,2.43,0,0,0
ENSMUSG00000102220,0,0,0,2.13,1.44,0,0,0
ENSMUSG00000103491,0,0.18,0,0.12,0.25,0.1,0,0.1
ENSMUSG00000103798,0,0,0,0.47,0.47,0,0.65,0
ENSMUSG00000103257,0.67,0,0,0.89,0,0,0,0
ENSMUSG00000104110,0,0,0,0,0,0,0,0
ENSMUSG00000037910,4.22,0.81,0,0,0,0,0,0
ENSMUSG00000102181,1.45,1.39,0,0,0.98,0,0,0
ENSMUSG00000065018,6.1,8.76,1.71,2.02,6.15,3.37,4.21,8.15
ENSMUSG00000102263,5.82,1.39,0,0,0,0,0,0
ENSMUSG00000104186,7.05,0.9,0,0,0,0,0,0.5
ENSMUSG00000103027,0,0,0,0.93,0.95,0.78,0,0
ENSMUSG00000102679,1.07,0.86,0,0.36,0,0.3,0,0.38
ENSMUSG00000104309,0,0,0.4,1.41,0.95,0.59,0.98,0
ENSMUSG00000084517,0,0,0,0,0,0,0,0
ENSMUSG00000104437,0,0.85,0,0,0.6,0,0,0
ENSMUSG00000102731,4.75,3.03,0,0,0,2.62,0,0
ENSMUSG00000103249,2.08,0,0,2.75,0,0,0,1.11
ENSMUSG00000104134,4.67,1.79,0,0,0,0,0,0
ENSMUSG00000103568,1.19,1.14,0,0,0,0,0,0.63
ENSMUSG00000065381,0,4.48,0,0,0,0,0,0
ENSMUSG00000037892,24.89,17.05,31.54,28.65,30.68,38.45,34.77,25.6
ENSMUSG00000102943,0,0,0,0,1.45,0,0,0
ENSMUSG00000027737,0.79,1.17,0.4,0.93,0.72,0.91,0.58,0.81
ENSMUSG00000102892,3.76,5.89,0,0.91,0.69,3.02,0,0.37
ENSMUSG00000104457,0,0,0,0,0,0,0,0
ENSMUSG00000104349,0,2.07,0,0,2.9,3.57,0,0
ENSMUSG00000102167,0,0.81,0,0.56,0,1.41,0,0
ENSMUSG00000103907,0.62,0.36,0.42,0.25,0.34,0.55,0.17,0.27
ENSMUSG00000102715,0.41,1.43,0,0.72,0.82,0.6,0.87,0.22
ENSMUSG00000102895,1.13,0.72,0,0,0.25,0.21,0,0
ENSMUSG00000103745,0,0,0,1.76,0,0,0,0.71
ENSMUSG00000104068,0.74,0.94,0,0.41,0.08,0,0,0
ENSMUSG00000104281,0.27,0.13,0,0.8,0,0.07,0,0.22
ENSMUSG00000089079,0,14.2,0,0,0,2.05,0,0
ENSMUSG00000103012,0.92,3.52,0.37,1.13,0.79,0.51,0,0.77
ENSMUSG00000102614,0,0.36,0.21,0.5,0.76,0,0.35,0.41
ENSMUSG00000103652,2.35,0,0,0,1.32,0,0,0
ENSMUSG00000102067,1.21,1.16,0,12.06,0.82,6.03,2.23,1.3
ENSMUSG00000103464,0,1.27,0,0,0,0,0.3,0
ENSMUSG00000023087,11.36,4.14,6.04,5.75,10.06,7.08,4.32,7.02
ENSMUSG00000103313,15.83,9.33,13.01,12.64,22.64,15.36,10.18,16.81
ENSMUSG00000037174,30.34,27.6,33.84,25.01,28.92,28.62,16.94,28.85
ENSMUSG00000087440,3.69,2.06,5.54,3.87,4.96,3.74,3.54,4.11
ENSMUSG00000077420,0,0,0,0,0,0,0,0
ENSMUSG00000104200,31.26,13.82,21.63,14.34,42.81,16.6,13.27,20.56
ENSMUSG00000103654,1.3,3.73,0,1.72,0,0.72,0,0
ENSMUSG00000102544,2.44,0.33,0.39,1.38,0.47,0.38,0,0.93
ENSMUSG00000037161,0.48,0.93,0.27,0.48,0,0.8,0.33,1.16
ENSMUSG00000104241,1.57,4.51,0,4.15,8.43,1.73,5.77,4.19
ENSMUSG00000037152,11.38,9.61,16.36,8.86,13.26,11.27,16,11.62
ENSMUSG00000063273,13.59,11.96,15.87,10.97,13.59,12.23,8.53,12.77
ENSMUSG00000103191,13.52,12.95,17.73,89.54,27.24,9.95,20.73,36.12
ENSMUSG00000102775,0.6,0.38,0.56,0.8,0.54,0.44,0.37,0.53
ENSMUSG00000027739,18.8,24.24,23.52,18.63,25.93,21.08,17.49,20.55
ENSMUSG00000102570,4.06,5.69,5.01,4.86,2.83,4.14,3.74,6.93
ENSMUSG00000037111,25.72,21.89,34.17,23.59,34.15,31.01,24.57,26.92
ENSMUSG00000102466,3.79,6.35,7.06,4.24,3.18,4.71,5.45,7.47
ENSMUSG00000097885,4.69,8.6,14.62,6.39,6.12,7.33,7.03,11.32
ENSMUSG00000104001,1.6,0,0,0,0,0.88,0,0
ENSMUSG00000104075,0,0,1.04,0,0,0,0,0
ENSMUSG00000104166,2.31,3.32,0,0,0,1.91,0,0
ENSMUSG00000074604,3.11,4.27,0.15,2.24,1.45,2.46,0.06,0.87
ENSMUSG00000103527,0.91,6.09,0,0.3,0,0,0.42,0.24
ENSMUSG00000061143,10.64,12.06,17.7,8.63,14.96,10.51,7.35,12.03
ENSMUSG00000074603,1.09,0,0,0,0.24,0.2,0,0.39
ENSMUSG00000102732,2.12,2.32,2.04,1.67,2.64,2,1.16,2.48
ENSMUSG00000102539,2.73,0.65,0,0,0,0,0,0.73
ENSMUSG00000065070,0,0,0,0,0,0,0,0
ENSMUSG00000103284,8.82,6.1,16.8,7.79,9.54,6.49,5.41,12.3
ENSMUSG00000103484,1.65,2.37,1.85,1.36,2.21,0.91,1.33,1.54
ENSMUSG00000102620,2.64,2.69,0.4,0.58,2.24,1.55,0.97,1.03
ENSMUSG00000102786,2.1,3.85,3.22,3.42,2.95,2.22,2.64,3.37
ENSMUSG00000103701,6.56,1.05,7.52,1.63,4.59,3.02,1.88,3.07
ENSMUSG00000104161,0.24,0.46,0,0,0.64,0.66,0,0.9
ENSMUSG00000102147,5.41,4.32,4.69,1.79,5,2.87,1.97,3.86
ENSMUSG00000103784,4.85,1.55,1.82,1.07,1.63,3.57,3.35,3.89
ENSMUSG00000102423,5.93,2.77,4.87,4.73,5,4.11,3.01,5.52
ENSMUSG00000104339,7.47,6.4,8.44,4.38,10.77,4.48,3.97,7.03
ENSMUSG00000102808,4.45,2.4,6.41,4.42,7.84,2.92,3.58,2.23
ENSMUSG00000103655,1.39,5.31,3.12,10.1,2.79,4.59,3.19,2.22
ENSMUSG00000103726,0.98,0.94,0.44,1.56,0.79,0.33,0.81,0.21
ENSMUSG00000104055,0.45,0.85,0,0,0.6,0.25,0.61,0.24
ENSMUSG00000103170,0.52,0,0.58,0,0.17,0.57,0.36,0
ENSMUSG00000102510,1.62,3.09,0,0,0,0.3,0,0
